,Musicas,Acordes
0,asa-branca,G
1,asa-branca,G
2,asa-branca,G/F
3,asa-branca,G
4,asa-branca,G/F
5,asa-branca,G
6,asa-branca,G/F
7,asa-branca,G
8,asa-branca,C
9,asa-branca,G
10,asa-branca,D7/F#
11,asa-branca,G
12,asa-branca,G7
13,asa-branca,C
14,asa-branca,D7
15,asa-branca,G
16,asa-branca,G
17,asa-branca,C
18,asa-branca,G
19,asa-branca,D7/F#
20,asa-branca,G
21,asa-branca,G7
22,asa-branca,C
23,asa-branca,D7
24,asa-branca,G
25,asa-branca,G7
26,asa-branca,C
27,asa-branca,D7
28,asa-branca,G
29,asa-branca,G
30,asa-branca,C
31,asa-branca,G
32,asa-branca,D7/F#
33,asa-branca,G
34,asa-branca,G7
35,asa-branca,C
36,asa-branca,D7
37,asa-branca,G
38,asa-branca,G7
39,asa-branca,C
40,asa-branca,D7
41,asa-branca,G
42,asa-branca,G
43,asa-branca,G
44,asa-branca,C
45,asa-branca,G
46,asa-branca,D7/F#
47,asa-branca,G
48,asa-branca,G7
49,asa-branca,C
50,asa-branca,D7
51,asa-branca,G
52,asa-branca,G7
53,asa-branca,C
54,asa-branca,D7
55,asa-branca,G
56,asa-branca,G
57,asa-branca,G
58,asa-branca,C
59,asa-branca,G
60,asa-branca,D7/F#
61,asa-branca,G
62,asa-branca,G7
63,asa-branca,C
64,asa-branca,D7
65,asa-branca,G
66,asa-branca,G7
67,asa-branca,C
68,asa-branca,D7
69,asa-branca,G
70,asa-branca,G
71,asa-branca,C
72,asa-branca,G
73,asa-branca,D7/F#
74,asa-branca,G
75,asa-branca,G7
76,asa-branca,C
77,asa-branca,D7
78,asa-branca,G
79,asa-branca,G7
80,asa-branca,C
81,asa-branca,D7
82,asa-branca,G
83,asa-branca,G
84,asa-branca,G
85,asa-branca,G
86,asa-branca,G/F
87,asa-branca,G
88,asa-branca,G/F
89,asa-branca,G
90,asa-branca,G/F
91,asa-branca,F/A
92,asa-branca,G
298,xote-das-meninas,Am
299,xote-das-meninas,Em
300,xote-das-meninas,B7
301,xote-das-meninas,Em
302,xote-das-meninas,E7
303,xote-das-meninas,Am
304,xote-das-meninas,D
305,xote-das-meninas,G
306,xote-das-meninas,A7
307,xote-das-meninas,D7
308,xote-das-meninas,G
309,xote-das-meninas,G
310,xote-das-meninas,D7
311,xote-das-meninas,G
312,xote-das-meninas,G7
313,xote-das-meninas,C
314,xote-das-meninas,C
315,xote-das-meninas,D7
316,xote-das-meninas,G
317,xote-das-meninas,Em
318,xote-das-meninas,Am
319,xote-das-meninas,D7
320,xote-das-meninas,G
321,xote-das-meninas,G7
322,xote-das-meninas,C
323,xote-das-meninas,D7
324,xote-das-meninas,G
325,xote-das-meninas,Em
326,xote-das-meninas,Am
327,xote-das-meninas,D7
328,xote-das-meninas,G
329,xote-das-meninas,F#m7(5-)
330,xote-das-meninas,B7
331,xote-das-meninas,Em
332,xote-das-meninas,F#m7(5-)
333,xote-das-meninas,B7
334,xote-das-meninas,Em
335,xote-das-meninas,Am
336,xote-das-meninas,D7
337,xote-das-meninas,G
338,xote-das-meninas,F#m7(5-)
339,xote-das-meninas,B7
340,xote-das-meninas,Em
341,xote-das-meninas,F#m7(5-)
342,xote-das-meninas,B7
343,xote-das-meninas,Em
344,xote-das-meninas,F#m7(5-)
345,xote-das-meninas,B7
346,xote-das-meninas,Em
347,xote-das-meninas,F#m7(5-)
348,xote-das-meninas,B7
349,xote-das-meninas,Em
350,xote-das-meninas,F#m7(5-)
351,xote-das-meninas,B7
352,xote-das-meninas,Em
353,xote-das-meninas,Am
354,xote-das-meninas,D7
355,xote-das-meninas,G
356,xote-das-meninas,F#m7(5-)
357,xote-das-meninas,B7
358,xote-das-meninas,Em
359,xote-das-meninas,F#m7(5-)
360,xote-das-meninas,B7
361,xote-das-meninas,Em
362,xote-das-meninas,F#m7(5-)
363,xote-das-meninas,B7
364,xote-das-meninas,Em
365,xote-das-meninas,F#m7(5-)
366,xote-das-meninas,B7
367,xote-das-meninas,Em
368,xote-das-meninas,F#m7(5-)
369,xote-das-meninas,B7
370,xote-das-meninas,Em
371,xote-das-meninas,Am
372,xote-das-meninas,Em
373,xote-das-meninas,B7
374,xote-das-meninas,Em
375,xote-das-meninas,E7
376,xote-das-meninas,Am
377,xote-das-meninas,D7
378,xote-das-meninas,G
379,xote-das-meninas,A7
380,xote-das-meninas,D7
381,xote-das-meninas,G
382,xote-das-meninas,G
383,xote-das-meninas,D7
384,xote-das-meninas,G
385,xote-das-meninas,G7
386,xote-das-meninas,C
387,xote-das-meninas,C
388,xote-das-meninas,D7
389,xote-das-meninas,G
390,xote-das-meninas,Em
391,xote-das-meninas,Am
392,xote-das-meninas,D7
393,xote-das-meninas,G
394,xote-das-meninas,G7
395,xote-das-meninas,C
396,xote-das-meninas,D7
397,xote-das-meninas,G
398,xote-das-meninas,Em
399,xote-das-meninas,Am
400,xote-das-meninas,D7
401,xote-das-meninas,G
402,xote-das-meninas,F#m7(5-)
403,xote-das-meninas,B7
404,xote-das-meninas,Em
405,xote-das-meninas,F#m7(5-)
406,xote-das-meninas,B7
407,xote-das-meninas,Em
408,xote-das-meninas,Am
409,xote-das-meninas,D
410,xote-das-meninas,G
411,xote-das-meninas,F#m7(5-)
412,xote-das-meninas,B7
413,xote-das-meninas,Em
414,xote-das-meninas,F#m7(5-)
415,xote-das-meninas,B7
416,xote-das-meninas,Em
417,xote-das-meninas,F#m7(5-)
418,xote-das-meninas,B7
419,xote-das-meninas,Em
420,xote-das-meninas,F#m7(5-)
421,xote-das-meninas,B7
422,xote-das-meninas,Em
423,xote-das-meninas,F#m7(5-)
424,xote-das-meninas,B7
425,xote-das-meninas,Em
426,xote-das-meninas,Am
427,xote-das-meninas,D7
428,xote-das-meninas,G
429,xote-das-meninas,F#m7(5-)
430,xote-das-meninas,B7
431,xote-das-meninas,Em
432,xote-das-meninas,F#m7(5-)
433,xote-das-meninas,B7
434,xote-das-meninas,Em
435,xote-das-meninas,F#m7(5-)
436,xote-das-meninas,B7
437,xote-das-meninas,Em
438,xote-das-meninas,F#m7(5-)
439,xote-das-meninas,B7
440,xote-das-meninas,Em
441,xote-das-meninas,F#m7(5-)
442,xote-das-meninas,B7
443,xote-das-meninas,Em
444,xote-das-meninas,Am
445,xote-das-meninas,Em
446,xote-das-meninas,B7
447,xote-das-meninas,Em
448,xote-das-meninas,E7
449,xote-das-meninas,Am
450,xote-das-meninas,D
451,xote-das-meninas,G
452,xote-das-meninas,A7
453,xote-das-meninas,D7
454,xote-das-meninas,G
596,a-vida-do-viajante,C7
597,a-vida-do-viajante,C7/Bb
598,a-vida-do-viajante,F/A
599,a-vida-do-viajante,Gm
600,a-vida-do-viajante,C7
601,a-vida-do-viajante,F
602,a-vida-do-viajante,C
603,a-vida-do-viajante,F
604,a-vida-do-viajante,C
605,a-vida-do-viajante,F
606,a-vida-do-viajante,Dm
607,a-vida-do-viajante,Eb
608,a-vida-do-viajante,F
609,a-vida-do-viajante,C/G
610,a-vida-do-viajante,F
611,a-vida-do-viajante,C7/G
612,a-vida-do-viajante,F/A
613,a-vida-do-viajante,F#°
614,a-vida-do-viajante,Gm
615,a-vida-do-viajante,D7/A
616,a-vida-do-viajante,Gm
617,a-vida-do-viajante,C7
618,a-vida-do-viajante,C/Bb
619,a-vida-do-viajante,F/A
620,a-vida-do-viajante,C/Bb
621,a-vida-do-viajante,F/A
622,a-vida-do-viajante,C7/G
623,a-vida-do-viajante,F
624,a-vida-do-viajante,Dm
625,a-vida-do-viajante,C7
626,a-vida-do-viajante,Bb
627,a-vida-do-viajante,F
628,a-vida-do-viajante,Dm
629,a-vida-do-viajante,C7
630,a-vida-do-viajante,C/Bb
631,a-vida-do-viajante,F/A
632,a-vida-do-viajante,C7/G
633,a-vida-do-viajante,F
634,a-vida-do-viajante,C
635,a-vida-do-viajante,F
636,a-vida-do-viajante,C
637,a-vida-do-viajante,F
638,a-vida-do-viajante,C7
639,a-vida-do-viajante,C7/Bb
640,a-vida-do-viajante,F/A
641,a-vida-do-viajante,Gm
642,a-vida-do-viajante,C7
643,a-vida-do-viajante,F
644,a-vida-do-viajante,C
645,a-vida-do-viajante,F
646,a-vida-do-viajante,C
647,a-vida-do-viajante,F
648,a-vida-do-viajante,Dm
649,a-vida-do-viajante,Eb
650,a-vida-do-viajante,F
651,a-vida-do-viajante,C/G
652,a-vida-do-viajante,F
653,a-vida-do-viajante,C7/G
654,a-vida-do-viajante,F/A
655,a-vida-do-viajante,F#°
656,a-vida-do-viajante,Gm
657,a-vida-do-viajante,D7/A
658,a-vida-do-viajante,Gm
659,a-vida-do-viajante,C7
660,a-vida-do-viajante,C/Bb
661,a-vida-do-viajante,F/A
662,a-vida-do-viajante,C/Bb
663,a-vida-do-viajante,F/A
664,a-vida-do-viajante,C7/G
665,a-vida-do-viajante,F
666,a-vida-do-viajante,Dm
667,a-vida-do-viajante,C7
668,a-vida-do-viajante,Bb
669,a-vida-do-viajante,F
670,a-vida-do-viajante,Dm
671,a-vida-do-viajante,C7
672,a-vida-do-viajante,C/Bb
673,a-vida-do-viajante,F/A
674,a-vida-do-viajante,C7/G
675,a-vida-do-viajante,F
676,a-vida-do-viajante,C
677,a-vida-do-viajante,F
678,a-vida-do-viajante,C
679,a-vida-do-viajante,F
680,a-vida-do-viajante,C
681,a-vida-do-viajante,F
682,a-vida-do-viajante,C
683,a-vida-do-viajante,F
684,a-vida-do-viajante,C
685,a-vida-do-viajante,F
686,a-vida-do-viajante,C
687,a-vida-do-viajante,F
894,numa-sala-de-reboco,Dm
895,numa-sala-de-reboco,A7
896,numa-sala-de-reboco,Dm
897,numa-sala-de-reboco,A7
898,numa-sala-de-reboco,Dm
899,numa-sala-de-reboco,A7
900,numa-sala-de-reboco,A7
901,numa-sala-de-reboco,Dm
902,numa-sala-de-reboco,Dm
903,numa-sala-de-reboco,A7
904,numa-sala-de-reboco,A7
905,numa-sala-de-reboco,Dm
906,numa-sala-de-reboco,G7
907,numa-sala-de-reboco,C7
908,numa-sala-de-reboco,F
909,numa-sala-de-reboco,G7
910,numa-sala-de-reboco,C7
911,numa-sala-de-reboco,F
912,numa-sala-de-reboco,G7
913,numa-sala-de-reboco,A7
914,numa-sala-de-reboco,Dm
915,numa-sala-de-reboco,C
916,numa-sala-de-reboco,Bb
917,numa-sala-de-reboco,A7
918,numa-sala-de-reboco,Dm
919,numa-sala-de-reboco,Dm
920,numa-sala-de-reboco,A7
921,numa-sala-de-reboco,A7
922,numa-sala-de-reboco,Dm
923,numa-sala-de-reboco,Dm
924,numa-sala-de-reboco,A7
925,numa-sala-de-reboco,A7
926,numa-sala-de-reboco,Dm
927,numa-sala-de-reboco,G7
928,numa-sala-de-reboco,C7
929,numa-sala-de-reboco,F
930,numa-sala-de-reboco,G7
931,numa-sala-de-reboco,C7
932,numa-sala-de-reboco,F
933,numa-sala-de-reboco,G7
934,numa-sala-de-reboco,A7
935,numa-sala-de-reboco,Dm
936,numa-sala-de-reboco,C
937,numa-sala-de-reboco,Bb
938,numa-sala-de-reboco,A7
939,numa-sala-de-reboco,Dm
1192,qui-nem-jilo,G
1193,qui-nem-jilo,G#°
1194,qui-nem-jilo,F#m
1195,qui-nem-jilo,B7
1196,qui-nem-jilo,Em
1197,qui-nem-jilo,Gm
1198,qui-nem-jilo,A
1199,qui-nem-jilo,D
1200,qui-nem-jilo,D
1201,qui-nem-jilo,C#7
1202,qui-nem-jilo,F#m
1203,qui-nem-jilo,A7
1204,qui-nem-jilo,D
1205,qui-nem-jilo,E7
1206,qui-nem-jilo,A
1207,qui-nem-jilo,A7
1208,qui-nem-jilo,G
1209,qui-nem-jilo,G#°
1210,qui-nem-jilo,F#m
1211,qui-nem-jilo,B7
1212,qui-nem-jilo,Em
1213,qui-nem-jilo,A7
1214,qui-nem-jilo,D
1215,qui-nem-jilo,A7
1216,qui-nem-jilo,D
1217,qui-nem-jilo,C#7
1218,qui-nem-jilo,F#m
1219,qui-nem-jilo,A7
1220,qui-nem-jilo,D
1221,qui-nem-jilo,E7
1222,qui-nem-jilo,A
1223,qui-nem-jilo,A7
1224,qui-nem-jilo,G
1225,qui-nem-jilo,G#°
1226,qui-nem-jilo,F#m
1227,qui-nem-jilo,B7
1228,qui-nem-jilo,Em
1229,qui-nem-jilo,A4
1230,qui-nem-jilo,A
1231,qui-nem-jilo,D
1232,qui-nem-jilo,A
1233,qui-nem-jilo,D
1234,qui-nem-jilo,A
1235,qui-nem-jilo,D
1236,qui-nem-jilo,A
1237,qui-nem-jilo,D
1238,qui-nem-jilo,D7
1239,qui-nem-jilo,G
1240,qui-nem-jilo,A7
1241,qui-nem-jilo,D
1242,qui-nem-jilo,D7
1243,qui-nem-jilo,G
1244,qui-nem-jilo,A7
1245,qui-nem-jilo,D
1490,xodo,A
1491,xodo,E
1492,xodo,B7
1493,xodo,E
1494,xodo,B7
1495,xodo,E
1496,xodo,C#m
1497,xodo,G#m
1498,xodo,F#m
1499,xodo,B
1500,xodo,E
1501,xodo,B7
1502,xodo,E
1503,xodo,C#m
1504,xodo,G#m
1505,xodo,F#m
1506,xodo,B
1507,xodo,E
1508,xodo,Bm
1509,xodo,E
1510,xodo,Bm
1511,xodo,F#
1512,xodo,C#m
1513,xodo,F#
1514,xodo,C#m
1515,xodo,F#
1516,xodo,A
1517,xodo,G#m
1518,xodo,F#m
1519,xodo,B
1520,xodo,E
1521,xodo,E
1522,xodo,C#m
1523,xodo,G#m
1524,xodo,F#m
1525,xodo,B
1526,xodo,E
1527,xodo,E
1528,xodo,C#m
1529,xodo,G#m
1530,xodo,F#m
1531,xodo,B
1532,xodo,E
1533,xodo,Bm
1534,xodo,E
1535,xodo,Bm
1536,xodo,F#
1537,xodo,C#m
1538,xodo,F#
1539,xodo,C#m
1540,xodo,F#
1541,xodo,A
1542,xodo,G#m
1543,xodo,F#m
1544,xodo,B
1545,xodo,E
1788,sabia,D7
1789,sabia,Gm7
1790,sabia,Dm7
1791,sabia,A7
1792,sabia,Dm7
1793,sabia,A7
1794,sabia,Dm7
1795,sabia,Gm
1796,sabia,A7
1797,sabia,Dm7
1798,sabia,Em7(5-)
1799,sabia,A7
1800,sabia,Dm7
1801,sabia,D7
1802,sabia,Gm7
1803,sabia,C7(9)
1804,sabia,F7M
1805,sabia,A7
1806,sabia,Dm7
1807,sabia,Em7(5-)
1808,sabia,A7
1809,sabia,Dm7
1810,sabia,Em7(5-)
1811,sabia,A7
1812,sabia,Dm7
1813,sabia,Em7(5-)
1814,sabia,A7
1815,sabia,Dm7
1816,sabia,Em7(5-)
1817,sabia,A7
1818,sabia,Dm7
1819,sabia,Em7(5-)
1820,sabia,Dm7
1821,sabia,Gm
1822,sabia,A7
1823,sabia,Dm7
1824,sabia,Em7(5-)
1825,sabia,A7
1826,sabia,Dm7
1827,sabia,D7
1828,sabia,Gm7
1829,sabia,C7(9)
1830,sabia,F7M
1831,sabia,A7
1832,sabia,Dm7
1833,sabia,Em7(5-)
1834,sabia,A7
1835,sabia,Dm7
1836,sabia,Em7(5-)
1837,sabia,A7
1838,sabia,Dm7
1839,sabia,Em7(5-)
1840,sabia,A7
1841,sabia,Dm7
1842,sabia,Em7(5-)
1843,sabia,A7
1844,sabia,Dm7
1845,sabia,A7
2086,assum-preto,Dm
2087,assum-preto,D7
2088,assum-preto,Gm
2089,assum-preto,Gm
2090,assum-preto,Dm
2091,assum-preto,A7
2092,assum-preto,Dm
2093,assum-preto,Dm
2094,assum-preto,D7
2095,assum-preto,Gm
2096,assum-preto,Gm
2097,assum-preto,Dm
2098,assum-preto,A7
2099,assum-preto,Dm
2100,assum-preto,Dm
2101,assum-preto,D7
2102,assum-preto,Gm
2103,assum-preto,Gm
2104,assum-preto,Dm
2105,assum-preto,A7
2106,assum-preto,Dm
2107,assum-preto,Dm
2108,assum-preto,D7
2109,assum-preto,Gm
2110,assum-preto,Gm
2111,assum-preto,Dm
2112,assum-preto,A7
2113,assum-preto,Dm
2384,ave-maria-sertaneja,Em
2385,ave-maria-sertaneja,A7
2386,ave-maria-sertaneja,Em
2387,ave-maria-sertaneja,A7
2388,ave-maria-sertaneja,Em
2389,ave-maria-sertaneja,A7
2390,ave-maria-sertaneja,Em
2391,ave-maria-sertaneja,A7
2392,ave-maria-sertaneja,Em
2393,ave-maria-sertaneja,A7
2394,ave-maria-sertaneja,Em
2395,ave-maria-sertaneja,A7
2396,ave-maria-sertaneja,Em
2397,ave-maria-sertaneja,B7
2398,ave-maria-sertaneja,Em
2399,ave-maria-sertaneja,A
2400,ave-maria-sertaneja,Em
2401,ave-maria-sertaneja,A
2402,ave-maria-sertaneja,Em
2403,ave-maria-sertaneja,C
2404,ave-maria-sertaneja,D
2405,ave-maria-sertaneja,Em
2406,ave-maria-sertaneja,E
2407,ave-maria-sertaneja,B7
2408,ave-maria-sertaneja,E
2409,ave-maria-sertaneja,E7
2410,ave-maria-sertaneja,A
2411,ave-maria-sertaneja,D
2412,ave-maria-sertaneja,A
2413,ave-maria-sertaneja,B7
2414,ave-maria-sertaneja,E
2415,ave-maria-sertaneja,C
2416,ave-maria-sertaneja,D
2417,ave-maria-sertaneja,Em
2418,ave-maria-sertaneja,Em
2419,ave-maria-sertaneja,B7
2420,ave-maria-sertaneja,Em
2421,ave-maria-sertaneja,A
2422,ave-maria-sertaneja,Em
2423,ave-maria-sertaneja,A
2424,ave-maria-sertaneja,Em
2425,ave-maria-sertaneja,C
2426,ave-maria-sertaneja,D
2427,ave-maria-sertaneja,Em
2428,ave-maria-sertaneja,E
2429,ave-maria-sertaneja,B7
2430,ave-maria-sertaneja,E
2431,ave-maria-sertaneja,E7
2432,ave-maria-sertaneja,A
2433,ave-maria-sertaneja,D
2434,ave-maria-sertaneja,A
2435,ave-maria-sertaneja,B7
2436,ave-maria-sertaneja,E
2437,ave-maria-sertaneja,C
2438,ave-maria-sertaneja,D
2439,ave-maria-sertaneja,Em
2440,ave-maria-sertaneja,C
2441,ave-maria-sertaneja,D
2442,ave-maria-sertaneja,Em
2443,ave-maria-sertaneja,C
2444,ave-maria-sertaneja,D
2445,ave-maria-sertaneja,Em
2446,ave-maria-sertaneja,Em
2682,a-morte-do-vaqueiro,Em
2683,a-morte-do-vaqueiro,A
2684,a-morte-do-vaqueiro,Em
2685,a-morte-do-vaqueiro,G
2686,a-morte-do-vaqueiro,A
2687,a-morte-do-vaqueiro,Em
2688,a-morte-do-vaqueiro,B7
2689,a-morte-do-vaqueiro,Em
2690,a-morte-do-vaqueiro,A
2691,a-morte-do-vaqueiro,Em
2692,a-morte-do-vaqueiro,Em
2693,a-morte-do-vaqueiro,D
2694,a-morte-do-vaqueiro,Em
2695,a-morte-do-vaqueiro,B
2696,a-morte-do-vaqueiro,Em
2697,a-morte-do-vaqueiro,D
2698,a-morte-do-vaqueiro,Em
2699,a-morte-do-vaqueiro,B7
2700,a-morte-do-vaqueiro,A
2701,a-morte-do-vaqueiro,G
2702,a-morte-do-vaqueiro,B7
2703,a-morte-do-vaqueiro,Cº
2704,a-morte-do-vaqueiro,B7
2705,a-morte-do-vaqueiro,Cº
2706,a-morte-do-vaqueiro,Em
2707,a-morte-do-vaqueiro,D
2708,a-morte-do-vaqueiro,Em
2709,a-morte-do-vaqueiro,D
2710,a-morte-do-vaqueiro,Em
2711,a-morte-do-vaqueiro,D
2712,a-morte-do-vaqueiro,Em
2713,a-morte-do-vaqueiro,D
2714,a-morte-do-vaqueiro,Em
2715,a-morte-do-vaqueiro,D
2716,a-morte-do-vaqueiro,Em
2717,a-morte-do-vaqueiro,A
2718,a-morte-do-vaqueiro,Em
2719,a-morte-do-vaqueiro,B7
2720,a-morte-do-vaqueiro,Cº
2721,a-morte-do-vaqueiro,B7
2722,a-morte-do-vaqueiro,Cº
2723,a-morte-do-vaqueiro,B7
2724,a-morte-do-vaqueiro,Cº
2725,a-morte-do-vaqueiro,B7
2726,a-morte-do-vaqueiro,Cº
2727,a-morte-do-vaqueiro,Em
2728,a-morte-do-vaqueiro,D
2729,a-morte-do-vaqueiro,Em
2730,a-morte-do-vaqueiro,D
2731,a-morte-do-vaqueiro,Em
2732,a-morte-do-vaqueiro,D
2733,a-morte-do-vaqueiro,Em
2734,a-morte-do-vaqueiro,D
2735,a-morte-do-vaqueiro,Em
2736,a-morte-do-vaqueiro,D
2737,a-morte-do-vaqueiro,Em
2738,a-morte-do-vaqueiro,A
2739,a-morte-do-vaqueiro,Em
2740,a-morte-do-vaqueiro,B7
2741,a-morte-do-vaqueiro,Cº
2742,a-morte-do-vaqueiro,B7
2743,a-morte-do-vaqueiro,Cº
2744,a-morte-do-vaqueiro,B7
2745,a-morte-do-vaqueiro,Cº
2746,a-morte-do-vaqueiro,B7
2747,a-morte-do-vaqueiro,Cº
2748,a-morte-do-vaqueiro,Em
2749,a-morte-do-vaqueiro,D
2750,a-morte-do-vaqueiro,Em
2751,a-morte-do-vaqueiro,D
2752,a-morte-do-vaqueiro,Em
2753,a-morte-do-vaqueiro,D
2754,a-morte-do-vaqueiro,Em
2755,a-morte-do-vaqueiro,D
2756,a-morte-do-vaqueiro,Em
2757,a-morte-do-vaqueiro,D
2758,a-morte-do-vaqueiro,Em
2759,a-morte-do-vaqueiro,A
2760,a-morte-do-vaqueiro,Em
2761,a-morte-do-vaqueiro,G
2762,a-morte-do-vaqueiro,A
2763,a-morte-do-vaqueiro,Em
2764,a-morte-do-vaqueiro,B7
2980,17-e-700,D
2981,17-e-700,A
2982,17-e-700,D
2983,17-e-700,A
2984,17-e-700,D
2985,17-e-700,D
2986,17-e-700,Em
2987,17-e-700,G
2988,17-e-700,D
2989,17-e-700,A
2990,17-e-700,D
2991,17-e-700,A
2992,17-e-700,D
2993,17-e-700,A
2994,17-e-700,D
2995,17-e-700,D
2996,17-e-700,Em
2997,17-e-700,G
2998,17-e-700,D
2999,17-e-700,A
3000,17-e-700,D
3278,a-danca-da-moda,Em
3279,a-danca-da-moda,B7
3280,a-danca-da-moda,Em
3281,a-danca-da-moda,D7
3282,a-danca-da-moda,G
3283,a-danca-da-moda,D7
3284,a-danca-da-moda,G
3285,a-danca-da-moda,Am7
3286,a-danca-da-moda,D7
3287,a-danca-da-moda,G
3288,a-danca-da-moda,D7
3289,a-danca-da-moda,G
3576,a-mini-saia,E
3577,a-mini-saia,A
3578,a-mini-saia,E
3579,a-mini-saia,B
3580,a-mini-saia,E
3581,a-mini-saia,E
3582,a-mini-saia,A
3583,a-mini-saia,B
3584,a-mini-saia,E
3585,a-mini-saia,A
3586,a-mini-saia,E
3587,a-mini-saia,A
3588,a-mini-saia,B
3589,a-mini-saia,E
3590,a-mini-saia,A
3591,a-mini-saia,G#
3592,a-mini-saia,C#m
3593,a-mini-saia,G#
3594,a-mini-saia,C#m
3595,a-mini-saia,B
3596,a-mini-saia,E
3597,a-mini-saia,B
3598,a-mini-saia,E
3599,a-mini-saia,B
3600,a-mini-saia,E
3601,a-mini-saia,B
3602,a-mini-saia,E
3603,a-mini-saia,B
3604,a-mini-saia,E
3605,a-mini-saia,B
3606,a-mini-saia,E
3607,a-mini-saia,B
3608,a-mini-saia,E
3609,a-mini-saia,B
3610,a-mini-saia,E
3611,a-mini-saia,B
3612,a-mini-saia,E
3613,a-mini-saia,B
3614,a-mini-saia,E
3874,a-mulher-do-meu-patrao,E
3875,a-mulher-do-meu-patrao,D
3876,a-mulher-do-meu-patrao,A
3877,a-mulher-do-meu-patrao,E
3878,a-mulher-do-meu-patrao,D
3879,a-mulher-do-meu-patrao,A
3880,a-mulher-do-meu-patrao,F#m
3881,a-mulher-do-meu-patrao,Bm
3882,a-mulher-do-meu-patrao,E
3883,a-mulher-do-meu-patrao,A
3884,a-mulher-do-meu-patrao,E
3885,a-mulher-do-meu-patrao,D
3886,a-mulher-do-meu-patrao,A
3887,a-mulher-do-meu-patrao,F#m
3888,a-mulher-do-meu-patrao,Bm
3889,a-mulher-do-meu-patrao,E
3890,a-mulher-do-meu-patrao,A
3891,a-mulher-do-meu-patrao,D
3892,a-mulher-do-meu-patrao,E
3893,a-mulher-do-meu-patrao,A
3894,a-mulher-do-meu-patrao,D
3895,a-mulher-do-meu-patrao,E
3896,a-mulher-do-meu-patrao,A
3897,a-mulher-do-meu-patrao,D
3898,a-mulher-do-meu-patrao,E
3899,a-mulher-do-meu-patrao,A
3900,a-mulher-do-meu-patrao,D
3901,a-mulher-do-meu-patrao,E
3902,a-mulher-do-meu-patrao,A
3903,a-mulher-do-meu-patrao,D
3904,a-mulher-do-meu-patrao,E
3905,a-mulher-do-meu-patrao,A
3906,a-mulher-do-meu-patrao,D
3907,a-mulher-do-meu-patrao,E
3908,a-mulher-do-meu-patrao,A
3909,a-mulher-do-meu-patrao,D
3910,a-mulher-do-meu-patrao,E
3911,a-mulher-do-meu-patrao,A
3912,a-mulher-do-meu-patrao,D
3913,a-mulher-do-meu-patrao,E
3914,a-mulher-do-meu-patrao,A
3915,a-mulher-do-meu-patrao,D
3916,a-mulher-do-meu-patrao,A
3917,a-mulher-do-meu-patrao,Bm
3918,a-mulher-do-meu-patrao,E
3919,a-mulher-do-meu-patrao,A
3920,a-mulher-do-meu-patrao,D
3921,a-mulher-do-meu-patrao,A
3922,a-mulher-do-meu-patrao,Bm
3923,a-mulher-do-meu-patrao,E
3924,a-mulher-do-meu-patrao,A
4172,a-rede-veia,G
4173,a-rede-veia,D7
4174,a-rede-veia,Em
4175,a-rede-veia,C
4176,a-rede-veia,Bm
4177,a-rede-veia,Em
4178,a-rede-veia,D
4179,a-rede-veia,A
4180,a-rede-veia,D
4181,a-rede-veia,D
4182,a-rede-veia,G
4183,a-rede-veia,A
4184,a-rede-veia,D
4185,a-rede-veia,G
4186,a-rede-veia,G
4187,a-rede-veia,D
4188,a-rede-veia,A
4189,a-rede-veia,D
4190,a-rede-veia,D
4191,a-rede-veia,G
4192,a-rede-veia,A
4193,a-rede-veia,D
4194,a-rede-veia,G
4195,a-rede-veia,G
4196,a-rede-veia,D
4197,a-rede-veia,A
4198,a-rede-veia,D
4199,a-rede-veia,D
4200,a-rede-veia,G
4201,a-rede-veia,A
4202,a-rede-veia,D
4203,a-rede-veia,G
4470,a-sorte-e-cega,G
4471,a-sorte-e-cega,C
4472,a-sorte-e-cega,D
4473,a-sorte-e-cega,D7
4474,a-sorte-e-cega,Em
4475,a-sorte-e-cega,Am
4476,a-sorte-e-cega,G
4477,a-sorte-e-cega,C
4478,a-sorte-e-cega,D
4479,a-sorte-e-cega,G
4480,a-sorte-e-cega,G
4481,a-sorte-e-cega,C
4482,a-sorte-e-cega,G
4483,a-sorte-e-cega,Em
4484,a-sorte-e-cega,Am
4485,a-sorte-e-cega,G
4486,a-sorte-e-cega,G
4487,a-sorte-e-cega,C
4488,a-sorte-e-cega,G
4489,a-sorte-e-cega,Bm
4490,a-sorte-e-cega,C
4491,a-sorte-e-cega,Bm
4492,a-sorte-e-cega,G
4493,a-sorte-e-cega,C
4494,a-sorte-e-cega,D
4495,a-sorte-e-cega,Em
4496,a-sorte-e-cega,Am
4497,a-sorte-e-cega,G
4498,a-sorte-e-cega,C
4499,a-sorte-e-cega,G
4500,a-sorte-e-cega,G
4501,a-sorte-e-cega,G
4502,a-sorte-e-cega,C
4503,a-sorte-e-cega,G
4504,a-sorte-e-cega,Bm
4505,a-sorte-e-cega,C
4506,a-sorte-e-cega,Bm
4507,a-sorte-e-cega,G
4508,a-sorte-e-cega,C
4509,a-sorte-e-cega,D
4510,a-sorte-e-cega,Em
4511,a-sorte-e-cega,Am
4512,a-sorte-e-cega,G
4513,a-sorte-e-cega,C
4514,a-sorte-e-cega,G
4515,a-sorte-e-cega,G
4768,a-triste-partida,D
4769,a-triste-partida,Bm
4770,a-triste-partida,Em
